user_id,signup_date,city,age,acquisition_channel
1,2026-06-13,Mumbai,22,Organic
2,2026-03-04,Gurugram,29,Organic
3,2026-06-23,Mumbai,48,Google Ads
4,2026-01-24,Gurugram,35,Instagram
5,2026-01-07,Gurugram,55,Instagram
6,2026-04-25,Pune,21,Organic
7,2026-02-10,Chennai,42,Google Ads
8,2026-02-25,Hyderabad,27,Google Ads
9,2026-01-25,Hyderabad,43,Organic
10,2026-07-26,Delhi,50,Instagram
11,2026-04-07,Mumbai,39,Referral
12,2026-06-08,Hyderabad,33,Organic
13,2026-01-12,Gurugram,39,Referral
14,2026-03-01,Mumbai,45,Google Ads
15,2026-06-12,Hyderabad,31,Instagram
16,2026-02-23,Pune,25,Organic
17,2026-02-13,Gurugram,31,Instagram
18,2026-03-11,Gurugram,41,Referral
19,2026-07-18,Delhi,35,Referral
20,2026-07-26,Hyderabad,46,Google Ads
21,2026-02-24,Hyderabad,34,Organic
22,2026-04-12,Jaipur,30,Google Ads
23,2026-03-05,Pune,48,Referral
24,2026-04-13,Hyderabad,35,Referral
25,2026-02-05,Jaipur,26,Organic
26,2026-01-29,Bengaluru,31,Organic
27,2026-04-19,Mumbai,45,Instagram
28,2026-04-30,Pune,21,Organic
29,2026-01-30,Pune,42,Google Ads
30,2026-04-22,Bengaluru,50,Google Ads
31,2026-07-04,Pune,53,Organic
32,2026-05-10,Mumbai,40,Referral
33,2026-05-10,Gurugram,30,Instagram
34,2026-02-11,Delhi,41,Instagram
35,2026-01-29,Hyderabad,40,Google Ads
36,2026-03-03,Mumbai,26,Organic
37,2026-07-28,Mumbai,55,Organic
38,2026-02-02,Jaipur,31,Google Ads
39,2026-06-05,Chennai,34,Referral
40,2026-07-13,Gurugram,40,Instagram
41,2026-06-21,Hyderabad,49,Referral
42,2026-04-26,Mumbai,36,Google Ads
43,2026-03-28,Delhi,35,Organic
44,2026-01-02,Mumbai,24,Google Ads
45,2026-01-09,Hyderabad,25,Instagram
46,2026-03-13,Jaipur,34,Instagram
47,2026-07-05,Jaipur,36,Organic
48,2026-07-26,Chennai,33,Google Ads
49,2026-06-18,Chennai,43,Instagram
50,2026-04-30,Delhi,27,Google Ads
51,2026-07-06,Hyderabad,27,Google Ads
52,2026-02-18,Jaipur,29,Instagram
53,2026-03-13,Jaipur,36,Referral
54,2026-01-20,Jaipur,27,Google Ads
55,2026-05-19,Delhi,26,Referral
56,2026-03-02,Bengaluru,47,Instagram
57,2026-02-24,Chennai,24,Google Ads
58,2026-01-01,Chennai,37,Referral
59,2026-07-20,Jaipur,39,Instagram
60,2026-07-07,Jaipur,30,Google Ads
61,2026-02-25,Delhi,55,Google Ads
62,2026-03-22,Delhi,24,Organic
63,2026-05-09,Bengaluru,24,Referral
64,2026-01-21,Bengaluru,25,Organic
65,2026-06-22,Gurugram,46,Google Ads
66,2026-05-26,Gurugram,23,Organic
67,2026-04-18,Hyderabad,37,Google Ads
68,2026-07-03,Hyderabad,36,Google Ads
69,2026-02-03,Pune,50,Instagram
70,2026-07-12,Mumbai,21,Instagram
71,2026-05-25,Mumbai,25,Instagram
72,2026-05-10,Pune,29,Referral
73,2026-01-18,Gurugram,44,Google Ads
74,2026-04-23,Pune,54,Google Ads
75,2026-07-29,Pune,27,Referral
76,2026-02-04,Pune,28,Referral
77,2026-07-10,Bengaluru,38,Google Ads
78,2026-02-23,Hyderabad,34,Organic
79,2026-03-09,Jaipur,37,Referral
80,2026-01-14,Mumbai,48,Referral
81,2026-01-12,Delhi,42,Organic
82,2026-06-13,Pune,31,Organic
83,2026-05-22,Chennai,21,Google Ads
84,2026-06-26,Bengaluru,55,Google Ads
85,2026-04-05,Bengaluru,48,Google Ads
86,2026-03-20,Hyderabad,23,Referral
87,2026-02-23,Gurugram,27,Instagram
88,2026-05-24,Chennai,30,Referral
89,2026-03-02,Bengaluru,32,Referral
90,2026-01-07,Bengaluru,42,Organic
91,2026-04-16,Gurugram,38,Google Ads
92,2026-06-29,Mumbai,45,Referral
93,2026-05-01,Gurugram,33,Referral
94,2026-04-28,Hyderabad,40,Referral
95,2026-02-28,Gurugram,22,Organic
96,2026-04-13,Hyderabad,38,Referral
97,2026-07-17,Pune,43,Organic
98,2026-04-13,Hyderabad,22,Google Ads
99,2026-03-08,Bengaluru,37,Google Ads
100,2026-06-02,Chennai,43,Organic
101,2026-03-22,Chennai,53,Google Ads
102,2026-05-28,Gurugram,37,Google Ads
103,2026-04-22,Delhi,54,Referral
104,2026-05-18,Gurugram,44,Instagram
105,2026-06-20,Hyderabad,41,Organic
106,2026-02-01,Pune,53,Instagram
107,2026-04-15,Hyderabad,46,Organic
108,2026-05-22,Bengaluru,33,Instagram
109,2026-04-08,Bengaluru,40,Instagram
110,2026-01-01,Pune,39,Google Ads
111,2026-07-21,Hyderabad,50,Instagram
112,2026-06-22,Gurugram,53,Instagram
113,2026-07-23,Bengaluru,26,Google Ads
114,2026-06-19,Hyderabad,26,Referral
115,2026-07-12,Gurugram,40,Google Ads
116,2026-02-20,Bengaluru,22,Google Ads
117,2026-05-02,Mumbai,50,Instagram
118,2026-06-11,Gurugram,45,Instagram
119,2026-03-04,Bengaluru,21,Referral
120,2026-07-17,Mumbai,48,Google Ads
121,2026-07-25,Jaipur,24,Organic
122,2026-02-01,Jaipur,29,Referral
123,2026-06-20,Hyderabad,49,Organic
124,2026-07-04,Chennai,49,Referral
125,2026-07-10,Jaipur,49,Google Ads
126,2026-03-05,Pune,54,Instagram
127,2026-03-03,Pune,49,Google Ads
128,2026-03-15,Gurugram,38,Instagram
129,2026-05-19,Mumbai,29,Google Ads
130,2026-04-09,Bengaluru,34,Google Ads
131,2026-04-15,Hyderabad,55,Instagram
132,2026-01-16,Gurugram,47,Instagram
133,2026-07-17,Delhi,45,Instagram
134,2026-04-01,Pune,45,Referral
135,2026-04-18,Gurugram,52,Google Ads
136,2026-04-22,Jaipur,22,Instagram
137,2026-06-21,Chennai,31,Referral
138,2026-02-02,Delhi,46,Organic
139,2026-06-19,Delhi,26,Organic
140,2026-02-04,Jaipur,32,Google Ads
141,2026-04-08,Hyderabad,34,Instagram
142,2026-03-28,Chennai,38,Organic
143,2026-04-18,Pune,26,Instagram
144,2026-07-11,Delhi,43,Google Ads
145,2026-01-18,Delhi,22,Referral
146,2026-02-21,Delhi,30,Google Ads
147,2026-05-02,Mumbai,34,Instagram
148,2026-03-07,Hyderabad,31,Organic
149,2026-07-11,Mumbai,31,Referral
150,2026-01-28,Delhi,40,Organic
151,2026-04-07,Chennai,33,Google Ads
152,2026-06-26,Gurugram,27,Organic
153,2026-03-19,Mumbai,23,Instagram
154,2026-04-20,Hyderabad,25,Instagram
155,2026-03-29,Delhi,47,Referral
156,2026-01-28,Chennai,44,Organic
157,2026-04-28,Bengaluru,48,Google Ads
158,2026-05-14,Pune,55,Organic
159,2026-04-30,Chennai,38,Instagram
160,2026-03-04,Mumbai,38,Referral
161,2026-03-04,Jaipur,45,Instagram
162,2026-05-07,Hyderabad,32,Instagram
163,2026-04-01,Pune,42,Google Ads
164,2026-06-02,Pune,21,Instagram
165,2026-02-18,Mumbai,36,Organic
166,2026-05-06,Gurugram,51,Organic
167,2026-05-06,Jaipur,22,Google Ads
168,2026-02-26,Chennai,36,Instagram
169,2026-05-29,Hyderabad,51,Organic
170,2026-03-30,Chennai,42,Instagram
171,2026-04-27,Pune,40,Google Ads
172,2026-01-31,Gurugram,41,Google Ads
173,2026-05-18,Bengaluru,33,Google Ads
174,2026-05-04,Pune,54,Organic
175,2026-01-26,Gurugram,39,Google Ads
176,2026-02-15,Pune,21,Organic
177,2026-02-02,Pune,23,Referral
178,2026-05-22,Pune,29,Organic
179,2026-07-12,Jaipur,27,Referral
180,2026-05-27,Pune,51,Instagram
181,2026-03-29,Bengaluru,24,Google Ads
182,2026-05-03,Mumbai,25,Instagram
183,2026-01-19,Delhi,30,Google Ads
184,2026-05-25,Pune,26,Referral
185,2026-01-31,Chennai,35,Organic
186,2026-04-08,Jaipur,49,Google Ads
187,2026-05-31,Chennai,40,Organic
188,2026-01-16,Mumbai,34,Organic
189,2026-03-09,Mumbai,31,Google Ads
190,2026-05-22,Mumbai,31,Google Ads
191,2026-04-26,Jaipur,39,Google Ads
192,2026-03-15,Pune,50,Google Ads
193,2026-03-01,Pune,33,Instagram
194,2026-05-20,Gurugram,30,Referral
195,2026-07-31,Bengaluru,25,Google Ads
196,2026-07-22,Pune,39,Instagram
197,2026-04-30,Pune,46,Referral
198,2026-05-09,Jaipur,49,Google Ads
199,2026-01-11,Chennai,41,Organic
200,2026-01-07,Mumbai,35,Referral
201,2026-05-28,Delhi,38,Organic
202,2026-07-15,Bengaluru,51,Instagram
203,2026-04-24,Pune,32,Referral
204,2026-04-22,Jaipur,26,Instagram
205,2026-04-15,Hyderabad,41,Organic
206,2026-02-11,Hyderabad,47,Organic
207,2026-03-15,Chennai,23,Instagram
208,2026-03-22,Pune,41,Google Ads
209,2026-07-17,Chennai,53,Referral
210,2026-01-01,Jaipur,47,Google Ads
211,2026-05-13,Hyderabad,52,Organic
212,2026-07-14,Delhi,34,Google Ads
213,2026-02-03,Pune,49,Referral
214,2026-05-05,Mumbai,22,Referral
215,2026-06-05,Gurugram,31,Instagram
216,2026-01-04,Chennai,26,Google Ads
217,2026-01-30,Jaipur,28,Organic
218,2026-02-09,Jaipur,39,Instagram
219,2026-03-11,Chennai,51,Referral
220,2026-03-04,Jaipur,30,Instagram
221,2026-06-03,Bengaluru,25,Google Ads
222,2026-07-22,Chennai,42,Referral
223,2026-05-10,Pune,21,Google Ads
224,2026-03-18,Jaipur,30,Instagram
225,2026-05-04,Hyderabad,42,Organic
226,2026-05-20,Chennai,50,Referral
227,2026-02-18,Gurugram,45,Google Ads
228,2026-07-18,Chennai,23,Instagram
229,2026-05-02,Chennai,45,Referral
230,2026-07-22,Bengaluru,52,Referral
231,2026-02-02,Hyderabad,27,Referral
232,2026-04-23,Mumbai,54,Referral
233,2026-01-04,Bengaluru,47,Referral
234,2026-02-09,Mumbai,51,Organic
235,2026-03-09,Hyderabad,46,Organic
236,2026-03-26,Chennai,41,Organic
237,2026-07-14,Jaipur,55,Google Ads
238,2026-01-18,Gurugram,39,Referral
239,2026-07-11,Mumbai,48,Referral
240,2026-07-14,Mumbai,49,Google Ads
241,2026-03-18,Delhi,23,Instagram
242,2026-01-15,Pune,43,Instagram
243,2026-02-07,Gurugram,54,Instagram
244,2026-06-24,Bengaluru,31,Google Ads
245,2026-06-06,Chennai,36,Instagram
246,2026-05-30,Bengaluru,35,Instagram
247,2026-03-07,Jaipur,37,Organic
248,2026-07-25,Jaipur,39,Organic
249,2026-02-10,Mumbai,49,Referral
250,2026-05-31,Pune,48,Organic
251,2026-04-27,Pune,33,Referral
252,2026-05-04,Mumbai,36,Instagram
253,2026-04-02,Pune,39,Google Ads
254,2026-06-18,Chennai,38,Google Ads
255,2026-06-25,Delhi,52,Referral
256,2026-03-15,Gurugram,43,Google Ads
257,2026-02-18,Pune,29,Organic
258,2026-06-10,Delhi,40,Organic
259,2026-01-09,Hyderabad,29,Google Ads
260,2026-03-17,Hyderabad,47,Google Ads
261,2026-02-03,Hyderabad,54,Instagram
262,2026-03-11,Bengaluru,37,Referral
263,2026-05-04,Pune,42,Referral
264,2026-04-30,Mumbai,30,Organic
265,2026-02-27,Chennai,44,Google Ads
266,2026-04-12,Delhi,37,Instagram
267,2026-04-27,Hyderabad,37,Organic
268,2026-07-30,Hyderabad,27,Organic
269,2026-05-01,Delhi,41,Referral
270,2026-02-26,Mumbai,50,Referral
271,2026-03-19,Chennai,28,Google Ads
272,2026-01-10,Pune,52,Google Ads
